Text,hashtag
stapphhhh it,[]
"everlasting, your light will shine where all else fades.",[]
youre weird.,[]
just fatty. no fancy names.,[]
i know im not the only oneeeee,[]
phase in weeks.but am i the only one actually missed phase lol.,['introvertproblems']
my landlord daughter still calls me jie jie ok not aunty yet,[]
io!,[]
"serious one! my ex firm got one. now new firm also same got one girl, stand up cough, go boss room cough, come out cough scary ah!!",[]
"is it me or, some people have that habit of coughing just for fun..?? like walk two steps, cough, talk two lines cough? lol",[]
,[]
thanks for ur support $ x rm. thanks!,[]
ok,[]
srkl,[]
brought to you by,['TeamNila']
hahaha thanks for the retweet im actually stationed at bishan on that day i think haha,[]
next sat &amp; sun! come wash your car with us!!,[]
like the face would help??,[]
please invite me when your cikgu starts a class again ill be happy to join thank you cikgu for your hard work!!,['bestcikgu']
oops its google meet,[]
also cikgu so sweet enough to learn how to use zoom to teach and these kids decided to just go mia!!!!,[]
kids nowadays tsk tsk!!! may god bless this kind cikgu &amp; give him strength! kids pls attend class &amp; dont disappoint your cikgu la!!,[]
"and if you have a minute, why don't we gotalk about it somewhere only we know?",[]
on point!!!!,[]
gets unconditional leave to defend...plf not happy... and guess what...... appeal!!!,"['workneversleep', 'noneedsleep', 'defendtillidie']"
somehow i miss phase cb so peaceful and quiet time at home hahaha,[]
and thats why it is called the numbers lol ok,[]
talking to your insured be like.... (im screaming inside),[]
mine seems to be working well after newton. take care and nice chatting w u,[]
apparently they say expect delay of mins. but lol i think its been more than that lol,[]
idk man. i think last month east west line also got issue right. sian!!!! but lucky i got a seat hope you dont have to stand too xx,[]
lol beb!! yes im stuck at orchard now wtf. apparently theres some track faulty or what at newton!,[]
mrt stopped for a good mins every single stn. what is going on!,[]
"in office refused to go home (cause far), but hungry want to leave office. lol",['adulting']
tried acupuncture for the first time and wow it does help me to ease my ankle pain wow,['wow']
,[]
lol,[]
"went out for shopping date, *accidentally brought my work phone out too* ... boss emailed came in to do work... lolllllllllllll",[]
no you have wonderful friends around you hope you feel better!! *hugs,[]
stay fat?,[]
raining how to jog,[]
now i finally understand why some people so loyal to their own boss / company...,[]
in the end of the day.. happy boss = happy worker. im happy!,[]
when boss sends you smiley face in msg lulzzzzzz y my boss so cute ah!,[]
,[]
"lol r u serious, this is a -lane expressway and accident happened in lane &amp; and why ppl still driving so slow ?!!!!!! dont anyhow kaypoh ah!!!!!!!",[]
this is m cc,[]
ok.,[]
or or set up a whatsapp groupchat for easy discussion lol,[]
sg robinson also closing down but i dont see long queues leh!!! but msia cases now k++ y no full lockdown!,[]
lol u guys can organised ill be there lmao,[]
favourite jogging route. its been awhile!! havent jog here for at least months now. good to be back!!,[]
tf covid : am i a joke to u??,[]
ok wor but shes not on twitter anymore,[]
was at clarke quay ystd and i casually joke w my husband zoom aimai? when i actually meant zouk,"['2020', 'covid']"
zoom,[]
big doggo is gentle giant friend.... meanwhile smol chihuahuas are.....just chihuahuas woof,[]
,[]
,[]
"yaaaaa i got a lot asking me about signing of contract la, tenancy agreement la, like, my law school isnt free? hahah but actually most of the time is, i dont know lol",[]
girl or boy? happy la dah upgrade become ayah now,[]
firms partner just passed me one of his watch worth more than x of my salary and ask me to send for repair lol the stress level,[]
try tcm. i just started tcm recently too. a lot cannot eat only can eat fish &amp; pork lol,[]
"lmao i think i just blue ticked for few hours then change topic shes been complaining a lot about her workplace to me but, i is not interested?! i mean, i dont even know them &amp; she tells me her boss having diarrhoea, like hmm interesting story i see..",[]
how to tell a friend that their conversation = boring. lol,[]
eh i didnt even say bye then i just blue ticked lol,[]
"need some leave and break from work, but can i?",[]
how to end an conversation with a judgy friend?,[]
why some aunty put the fengyou like theyve bought the entire factory worth of fengyou one????!!!,[]
congrats !!! hope both is well xx,[]
"hurhur finished em in paris, whats next?",[]
becky!,[]
i could sing of your love forever,[]
ok,[]
ou wait im alr connected with you on linkedin lol.,[]
ok i go stalk u now,[]
boss that actually appreciates your work. oh happy day!,[]
/ would date,[]
thy will be done!,[]
asian care package,[]
ur tweet name is what c i e e aniloh lol,[]
i love my job but im also tired cause of my job lol. anybody feels the same way too?,[]
how great is our god! such a wonderful news from a friend!,[]
months.,[]
open fb all u see is avatar .. k,[]
stop w the avatar thing la,[]
"missed those days, room door to office chair only takes mins",[]
next time buy house buy near mrt!!!!!!! walk to mrt also mins omgoodnesssnnananaja,[]
idk how people can commute to work everyday from jurong to the east. cause im dying. (woodlands to cbd,[]
can smell by looking at the picture lol,[]
"kids, dont procrastinate. now i have pile of work waiting for me. zzz",[]
"find rest my soul, in christ alone",[]
how to tell someone to wake up !!!!,[]
how to take a break someone in real life?,[]
lmao,[]
when the oceans rise and thunders roar,[]
woooo more opinions coming in yayyyyyy,['joy']
"i dont even bother swiping for those posted pictures with friend(s). i mean, last time, years back. not now","['cannotswipe', 'swipedrightonce', 'nomorechancetoswipe']"
woke up am on a saturday zzzzzz to go back to sleep or not? ill need to leave in an hours time,[]
sameeeee. jiayou! i should too!,[]
/ to go. can i do it by tmr? my weekends are burnnnnt,[]
opinionssssssss. one more down and forever to go.,[]
"when u supposed to finish opinions over the weekend, but you only done one.",[]
tak rindu i ke? hahahahahahahaha,[]
thhhhhh when u actually want to stay back on a friday to work and your comp decided fail on you. ok can.,[]
orchard at night,[]
happy can liao ok?,[]
"way maker, miracle worker, promise keeper, light in the darkness!",[]
"in every high and stormy gale, my anchor holds within the veil!",[]
boys****,[]
grumpy boyyyyy,[]
you cuter hahahahahahaha,[]
"this morning i was early so i went to neighbours door and played with the cats.. anddddd neighbour said come in la, next time want play just open door and come in its ok... lol okeh...",[]
i dont like wfh lol spoil my momentum,[]
omg am i the only one prefers to work in office lol,[]
erp is back..............!!!,[]
i smell nasi lemak sambal in the train.........!!!,[]
u r back,[]
oh yes it is !,[]
is library available now?!!,[]
i purposely put on earpiece but still. wth,[]
and after working hours eventho youre in the office. but hello its after office hour alr dude,[]
omg i would scream and probably peed my pants!! hollakdhhshshir!!!!,[]
hello youre back!,[]
bring new wine out of me!,[]
yalo adulting sucks.,[]
,[]
anxiety and shit. go.away.,[]
,[]
great is thy faithfulness!,[]
lolllll jiayou! be a man!!! do the right thing!!!!,[]
chasing butterflies,[]
"then sings my soul, my saviour god to thee. how great thou art, how great thou art!",[]
"let not the things of this world ever sway me, ill run till i finish the race.",[]
"situation at orchard toilet today: young girls putting makeup, posing for photos. thats me, years ago....... now i try to avoid orchard ..... too many young kids.. im old. need carry fengyou around liao instead of perfume.",[]
bto at marymount shag ah hahahahaha,[]
lol bro,[]
so it was a glitch ? i thought it was just meeeeee,['Spotify']
"ended up, my last try, i deleted spotify for a good hour, then restart my phone, log out apple, then reboot everything then only works!!!",[]
oo mine too!!!!!! i thought im the only one who had the problem. i was so pekcek i deleted re downloaded at least times.,[]
lmao,[]
errrrrr.....,[]
eh? tcb ?,[]
eh close! are you ready for the east-coast plan?,[]
tharman for taman jurong.,[]
lmao,[]
hallooo social distancing ????,[]
"alsooooo, i love the reusable mask collected from vending machine today!! the quality is thick and breathable! not a sponsored post lol. im just happy for free stuff! just bring ur ic and youll get free mask lol",['staymasked']
"back in , where i queued for hours for my turn to vote! hahaha today hubby &amp; mil only took like a total mins in and out, impressive!",[]
"woke up early today accompany husband to makan then head out to polling centre later! this is so much i can do, for now! happy voting folks!",['GE2020']
i put my hope in your holy word.,[]
l g m w.,[]
love thy neighbour.,[]
all is well.,[]
constant reminder.,[]
"when u wear mask, people cant see your fat face.. then they can call you",[]
i miss japan. so.much.,[]
,[]
t o x i c,[]
patience.,[]
i want cake!,[]
joanna joanna joanna with the a. not joanne!,[]
how long more can i take this shit.,[]
"not to mention, even after conversion to myr, its still less than rm! ($ x = rm)! and i used to go in jb for a haircut that cost me rm!!! ($)",[]
got my haircut at woodlands today for only $! im amazed! why did i paid so much at the east ??!?,[]
"dont be a bitch, will you?",[]
,[]
everything seems better and brighter. jiayou!,[]
i miss the times where we can just walk out freely.,[]
"miss travelling so much. most importantly, i miss travelling with my grumpy partner.. walking aimlessly constantly looking for food..",[]
i cant even. i dont even know how to pluck myself because every time i do it ill mess it all up by creating my own longkang in between wtf but its not opening yet in sg until few months later ugh hows things x,[]
ok i need to fix my brows. its like caterpillar right now,[]
who misses the big bang theory in ?!!?? i know im not the only one!,[]
i miss bubble tea.,['circuitbreakerproblems']
thank god!,[]
lol havent put on my lipstick for awhile now.,['circuitbreakerproblems']
looking great x,[]
ok. everything down.. eat grass lo!!,[]
,[]
,[]
,[]
last.,[]
,[]
lol,[]
eh gemuk ni hahah,[]
its not even im hungry,[]
what game lai like nice only,[]
what is more entertaining than listening to my landlords daughter learning mandarin lol.,[]
feeling nostalgic.,[]
was my favourite. can we go back?,[]
haha we can still go meet at the east i miss the east too,[]
haha no la i moving to another house. rindu la kat sini almost years now move to completely different environment tak biasa la feeling haha,[]
"ill miss you tampines, changi village, jewel, airport, pasir ris, and bedok! thanks for the memory!",[]
"last day at the east. ill miss you, home for almost years. north, here i come!",[]
im cooking leh hahahahaha but now like lazy everything put in airfryer only,[]
"me: day , and still counting. lol!",[]
"two possibilities after cb ends, either ill gain loads of weight cause no exercise and no movement at all except at home lol or ill be super slim cause only eat home cooked lmao.",[]
tough times. jyjy!!!,[]
"tough decision, but we have to move forward despite of obstruction along the way.",[]
i miss my long hair. as per dp.,[]
,[]
throwback. lol,[]
,[]
,[]
,[]
"throwback : , with these favourite people little nephew growing up so fast i cannot singapore",['NOTMYSONAH']
. i can do it!!!!,[]
comeeeeeeeback drink with me sooooon,[]
[actually] studying for the bar. : cr cook &amp; tras social library,[]
yay finally got to book my sg bicentennial experience tix!!! had been trying to book since june omg. !!,['finallyyyyyyyy']
,[]
sleep deprived. should i get boba.,[]
did,[]
anybody caught that? hahaha.. thats the first thing he dir after arriving padang aiyorrrr so cute..,[]
,['nationaldayatNMS']
can you not let your past haunt you.,[]
"shaun : i love you, ! me : enough meh? throwback to uss trip with the family ... .............. universal studios singapore fans",[]
the awkward moment when you met your trial judge for ur ongoing case at the mall. ok can. singapore veli the small can easily bump into anyone.,"['avoideyecontact', 'seeyouincourtLITERALLY']"
hokkien mee. can someone dapao some for me.,[]
ego,[]
,[]
,[]
,[]
haha no laaa my bf sister made me a juice ystd make me laosai only haha,[]
detox juice is no joke. omg,[]
let bygones be bygones.,[]
,[]
,[]
"back to the grind, km per day. say no to fats!",[]
uhm i tried sleeping with cats for a night i changed my mind of having one hahahah!!!,[]
meow. but srsly dont get theyre quite annoying. for real. hahahah,[]
,[]
,[]
grass is always greener the other side.,[]
one more sleep till endgame. omg why i so slow. halp.,[]
im ready!!!,['Endgame']
"in this trip, i learnt that shaun hates shopping, a lot. i also learnt that shaun can never take nice pictures of me, because he said that he shoot bullet, not camera",['bkk2019']
some things we cant see it with our bare eyes.,[]
,[]
after you. does my outfit looks like table cloth? i love it! cause bf chose it hehe! after you cafe at siam square one,[]
,[]
,[]
good things ended this way. because youre childish af. grow up.,[]
leopard lo. some co worker who behaves like a kid.,[]
a leopard never changes its spots.,[]
omg am i dumb or u slow omg uh,[]
caitaokueh hokkien mee nasilemak,[]
peace.,[]
,[]
weather quality seems bad. haze smell all over east side. whats going on?,[]
the library one = goalllllls,[]
hahaha he got no twitter but ya i always tell him when he want to marry me lol wts,[]
ok can sleep alr.,['littlethings']
i used to travel hour mins to the west just to eat charkueyteow at malaysia boleh (the only ckt taste like home) i dont need to do that anymore eastpoint mall is just mins walk away!,[]
"me: malaysia boleh opens at simei, wheeeeee no more reason to travel to boon lay just to eat ckt anymore! bf(who stays at boonlay): oi, east &gt; west",[]
were growing older,[]
same,[]
"me on fb : oh wow so many people getting married alr??!?!!?oh wait, im alr at the age.........",[]
sat! drink w me got two leh lol,[]
bb lets go yoga then go plaza sing!!!!,[]
,[]
wew angsty hougangster,[]
go where eat?eat at hougang - say no one everrrr. only you bb hahahhaa,[]
wow leggo,[]
,[]
sens-ji // throwback tokyo trip with pikaaaaa (sens-ji temple),[]
- shauns debut single gao()lat gaolat - so romantic asia/singapore,['vday2019']
,[]
,[]
,[]
,[]
lol kids at nowadays can afford iwatch sia. but dont have bank acc. broooo....,[]
hahahahahaha i chose ed sheeran and maybe phantom,[]
ed sheeran josh groban john mayer phantom of the opera musical. how ?,[]
,[]
guess im not the only one for this whole gp/cp saga.,[]
"my grabfood delivery man like lepak only. mins ago still at tampines, now, still at tampines hungry laaaa",[]
toyota!,[]
expectation set too high will lead to huge disappointment,[]
!!,[]
same!! let me question her later lol,[]
i think it is! havent check my friend just told me this afternoon!!,[]
lolol its a netflix series todays s release hahah go watch damn funny,[]
s kims convenient!!!!!,[]
,[]
finally theres mrt to siglap lol. where i paktor last time w shaun hahaha,[]
bb,[]
its only first week of jan.. my bf bought me a rice cooker last few days and ystd he came home with an air fryer... hint is strong..,['adulting']
"first week of jan, hi guys lol",[]
woaini,[]
so my bf got me a rice cooker lol,"['happyadult', 'growingup']"
hi guys ... im a happy.... adult... lol,[]
sunday jurong day. long day ahead. i just wanna stay here in the east,[]
right! im planning to get another set tmr lol wts hahahaha,[]
,[]
i got myself a set of frying pan and spatula lol,[]
thinking about you still gives me butterflies gooddam,"['junglemanKLtrip', 'PDAsia']"
"dad &amp; bf talking in the living room, and im sitting alone at the kitchen table. i felt left out????",[]
john mayer phantom of the operaed sheeranall in april. is it eat-grass-april?,[]
john mayer!,[]
sinkaporrrr,[]
t- hours!,[]
is it no need to sleep?!!?,[]
t-,[]
count wrongly.,[]
"happy birthday to my dear baobao, whom i met since years old! look how far weve been through together over the decades. from high school friends, to siao-ing kpop, to working in",[]
t- days,[]
,[]
,[]
avada kedavra to your heart shaunseveruslim changi airport,[]
t- days.,[]
sometimes i just feel like blocking someone in real life. i need some peace. not your stupid dramas.,[]
sometimes some people just have to keep quiet with their opinion. no one cares.,[]
planned to head to the gym this evening...ordered macs in the morning...wew.,"['life', 'livethefatlife']"
marina barrage,[]
tokyo imperial palace,[]
"shibuya. shibuya crossing, tokyo",[]
"shinjuku tokyo,japan (",[]
sound like me lol,[]
telegram bb,[]
hahahhahahahahhaha i love your tweet,[]
do i need a passport to go to punggol? punggol end,[]
how time flies.,[]
i want a black cat name salem!,[]
i love itttttttttt,[]
start packing for singapore trip!,[]
the moon today,[]
me.,[]
halloween saturday with the kpum peeps haunted house in hours + our sweaty (oddly satisfying after being scared) faces halloween horror nights,[]
ilubyoutoo,[]
dad sent me early in the morning. relatable.,[]
les misrablesme: how do u pronounce it?friend: *pronounce correctly french accent*me: lei-mi-ser-le-blehfriend: this is how you get shot lololol,[]
its just the heat of the moment.,[]
ok. just ok. okkkkkk. let it be. okkkkkk,[]
tired.,[]
bro u high,[]
,[]
yaaass,[]
i lub u,[]
happy birthday su wen,[]
bb,[]
,[]
did yoga.. and dapao prata...,['LOGIC在哪里']
,[]
,[]
,[]
ahhh cant wait to meet my baby cousin... im so in love with him alr even before meeting him... jiejie will pamper and sayang you many many..,['overlyattachedsiaocousin']
hungry hungry hunfryyyg regret only ate plates of sushi.,[]
text me k,[]
is u okeh bebz,[]
guess which idiot transferred funds wrongly to some unknown acc,[]
yea no worries. im good.,[]
she starts lecturing me like as if i owe everyone a duty to uphold my image in the room. why do i have to hide my true self? i am who i am. you cant be judgmental on how a person i am.,[]
constant reminder: i live for myself and answers to nobody. i dont have to bother what other thinks about me.,[]
nah. had a bad fight with my friend. she thinks that my attitude is not to her par. she starts giving me lecture. feels hurt instead.,[]
i really dont know how to feel about this.,[]
"what i cant accept is, your own best friend cant accept you for who you are.",[]
am i gonna apologise for what i do when i dont feel its wrong?,[]
,[]
"lmao!!!!! put ur bank details, name &amp; contact number then just deposit into ur acc lor hahahahahah",[]
its ok to let go.,[]
quarter life crisis hitting me real hard.,[]
pls do not come back to my life. i dont need you anymore.,[]
,[]
ok like that lor ok one beb ok one,[]
few days straight nv sleep more than hours/day alr. dont think i can take mrt crowd will die anytime,[]
"grab : left work at sharp, arrived home . no way! mrt from paya lebar to upper changi only mins. no more grab during peak hours.",[]
,[]
weiiiiiii its just mins walk away to home but im stuck here for at least minutes now. whats the jam about?!!! should i just walk home lol,[]
all i want is just..... a piece of prata and milo peng... and my bed.. i wanna sleep,[]
eeeeeeeeeeeeeeehhhhhhhhhhhh.,[]
oh like u feel left out cause u're not from cambridge? hahah wtf,[]
?? why am i involved lol,[]
ikrrrr,[]
lmao but no i would buy u a chopsticks too xoxo,[]
i think we need a am chio sticker leh. &lt;&lt; does this count lol,[]
,[]
,[]
the excitement of........ having prata for dins lollll. cant wait to go homeeeeeeee move train move,[]
why my grab driver drive so slow im starving i want foooddddd,[]
what was i thinking? i want bubble tea after this chijmes,[]
,[]
try singapore. lol,[]
,[]
,[]
thank you for suggesting to me too. hahaha needed them. and sorry to hear youre experiencing these kind of nonsense,[]
yea i just learnt about the mute button! hahahaa,[]
haha is the mute function new? i shall do that.,[]
"haha dont need to private also can remove. i dont wanna remove from following or follow. i just wanna see less about that person, so its not that obvious. if remove completely that person will know some more we got close mutual friends",[]
i wont unfollow u de bb,[]
like ideal. thanks for the suggestion and i shall hahaha,[]
gurlll yo dress is over the line. helloooooooo pls sit inside your box omg. privacy bro,[]
but they still see my stuff right? lol i dont want that either hahahahaha,[]
not sure bout these haha,[]
for telegram can customise who to show haha whatsapp dont think so canggih,[]
hahahahahaha,[]
,[]
how to unfollow someone on instagram without them noticing especially when theres close mutual friends,[]
,[]
things that you cant fulfil please dont anyhow promise or mention.,[]
walao,[]
i wonder how these people can ot and skip dinner. im dying alr and work is not even half done,[]
kei kiang,[]
,[]
so tired. so so tired with all these already.,[]
"early morning kena two erps, oh my purse",[]
i wanna go on a holidayyyyy. even if its just batam or jb.,[]
uhm whaaatt,[]
is u okeh,[]
o r. =,[]
"at times like this,",[]
sunset in singapore gardens by the bay east,[]
/.,[]
"hate how i backup my phone, so many old photos suddenly appear. old bad memories",[]
still dreaming bout being a minnie mouse. now wheres my mickey? | patong beach phuket,[]
disneyland with this crazy girl phatong beach,[]
let the holiday begin! | patong beach phuket,['spontaneoustrip']
yessss,[]
"filed urgent hearing date, came out hearing one month later... bruhhh???? whaaat u want me to do now. stress ball giler",[]
least youre alright!,[]
gr had a nightmare and i cant sleep rn whaaaaatt,[]
knn der brother omg whaat ???,[]
wish i had a car here. clinic is so damn far away,[]
heng until cannot sia. called clinic they say open until . went there close shop wth come back take care of me lol although woodland to changi damn far,[]
dont know heng or suay to fall sick on ph,[]
dowan hahaha,[]
"i missed my cat!! one moment ago she was meowing outside my room, the next moment shes gone!! come back kitty!",[]
thanks di,[]
"completely waste of my energy, time and effort.",[]
i think ill arrive singapore only pm fml,[]
"hurhur stuck at jb, not even checkpoint yet i just wanna go home and sleep who wanna fetch me from woodland plzzzzz",[]
funny how one small thing can affect your entire day.,[]
"if i caught it, thatll be my personal property. hahahahah",[]
the pokemon itself doesnt want to be trained. i gave up.,[]
im done *flips table,[]
the thing about passive people is that they make us feel so pushy and dumb and stupid.,[]
amaran terakhir,[]
brruhhhhhhhh. apa ini? kakak dah bagi byk petua. jln sikit boleh x.,[]
"but this pokemon not trained, and need a lot of guidance. and it seems hard to catch too, idk how to lure this pokemon.",['toughlife']
found a rare pokemon. not caught yet. so how now.,[]
i swear this one last warning.,[]
is it when people hungry they get frustrated easily,[]
beibi xuen la,[]
this.,[]
need.cuddles.after.duty.,"['tireddoggoistired', 'plshugdoggo']"
omg this siamdiu song stuck in my mind,[]
lmaoooo beb syiok or not listen speaks singlish,['eargasm']
awwwwwwwwwwww,[]
"celebrating sg ndp doesnt make me any lesser as a malaysian. i spend most of my time here, sg is my home away from home &amp; i love sg as much as i love malaysia","['peacenothatred', 'dontkiasuwithyourlove']"
hahahahaa. theres always a reason behind. but will consider,[]
"i spent most of my days in singapore, ill ogo back to kl say days max/year? its my home alway from home here &amp; i felt genuine love ofc, it doesnt mean that i gave up to be a malaysian then why i bother coming home to vote? hehe happy friday m come sg ill bring eat!",[]
"&amp; think about it, if this was in usa/korea or any other country, will msian still be triggered? i honestly dont think so. its always a thing that msia hates sg and vice versa. no idea why tho. singaporean so kiasu &lt;&lt;&lt; tbh, i dont think so also hahaha",[]
"i asked myself a question, why i never celebrate merdeka? we all know a reason why we never celebrated merdeka for a reason. celebrating singapore nationals day doesnt make me any lesser as a malaysian.",[]
wheeee ndp vibes! happy birthday singapore! ended up at bay east garden because marina barrage was so packed! it feels like the whole singapore gathered there lol! bayfront,['ndp2018']
lol no ah i never apply also,[]
come on its my first ndp!! i missed last year! so i went out to see this year hahaa,[]
prc* lol!,[]
more singaporean than you,[]
ndp,[]
singlish,[]
on ndp! its at upper changiiii lolol.,[]
is life.,[]
need *,[]
want koi rn.,[]
toe bruise still diedie want go out is want how? is want how u tell me,[]
r u ok beb updae me ba,[]
so i was searching picnic place in singapore........... and everywhere seems so ulu far.. omg...........,[]
"friend went to marriage today, and im here lying on my bed ... scrolling twitter &amp; insta.. thinking what to eat for tmrs breakfast.. lol life",[]
,[]
baby what happened to u !!!!,[]
"wow after months of opening of dtl, finally theres food store at upper changi!! wew",['makechangigreatagain']
wait whatttt,[]
hha thanks. its allergic cream and wart remover. im not sick but thanks lol.,[]
"see doctor also $ gone, this month is it eat grass ?",[]
i wanna hold you when im not supposed to,[]
"months ago, i was desperately dying for an answer and explanation. im glad that today, the answer or explanation doesnt matter anymore.",[]
i find it sad that im not sad anymore. lol,[]
awww so sweet. ok i think of u tonight and tmr and tmr tmr lol,[]
occasionally.... i still think of you ....,[]
for real babe? or should i buy something like the sand sand thing and she will just roll over? cause my cat likes to go out jalan jalan. come back like dirty only,[]
how to shower your cat when your cat hates water? cat owner halp plz,[]
,[]
why do we like to waste each others time.,['lastwarning']
"with singapores weather, a thousand dollars worth of makeup also will melt lo.",[]
uob ah. one,[]
dont make a promise you dont intend to keep,[]
so im supposed to go to the bank. but im so lazy. why theres no nearby bank around,[]
say real one. whats the happening with ewl today stopping at every station for more than mins no wayyyyy,[]
youll be ok darling,[]
her face at the end. bruhhhh,[]
permission to carry on maam,[]
size up ops is ready,[]
wow,[]
lol jon where are you working now?,[]
is it me or i find shopping at ntuc very therapeutic? hahahaha..,[]
,[]
singapore,['sephoraplayhouse']
"adun balakong, rip yb.",[]
honestly how many pairs of shoes i need when i only have one pair of feet,[]
come singapore lol youll definitely kill hours at custom hahaha,[]
"so i wanted to transfer $ to myself from bank a to bank b. i only thought of withdrawing the money &amp; deposit it manually, but never thought of doing it online which only requires me mins. whats going on with my brain.",[]
ok. ok sure. ok.,[]
,[]
short people problems. my head always kena hit by peoples handphone on mrt,[]
and the bus is not coming??????? whaaaaiiii,[]
the day where you supposed to cover your teammate and your big boss staff is when youre gonna be late. wew good job joanna,[]
lol dbs sent me ibanking stuffs but not my atm card lol whats going on where my card,[]
sometimes its just the matter of priority.,[]
beibi,[]
. i use all nighter from urban decay. ktnx bottles hor.,[]
"with singapores weather, bottles of setting spray also not enough to keep the makeup on.",[]
