Text,hashtag,Translated Text
kn.. dr thun sebelum jahanam smpai border bukak masih lg mcm tu jgak.,[],"Kn .. Dr. Thun before he crossed the border, I was still mcm."
tell them the real reason u kick.shame on you,[],Tell them the real reason u kick.shame on you
bye,[],Bye
makanlah sikit nanti sakit.,[],Eat a little later it hurts.
kah kah kah. lelaki konfess minat amoi kena kecam. kalau perempuan minat oppa mcm siyel memasing. bg jari tengah jela dorng ni.,[],"Are you? Men Confcess Interest Amoi got hit. If a woman is interested in oppa mcm siyel, suck. Bg Middle Finger Jela Dorng Ni."
"dengar boleh, percaya jangan",[],"Listen can, believe no"
"user iphone kn bodoh.. biasalah.dah lah paling bodoh, paling gelabah dengan battery health tu. benak.",[],"IPHONE User KN stupid ... usually the most stupid, the most geribaya with the battery health. mind."
yang saya tahu nnt sbb takut coklat tu tertumpah ke ladang gandum dan puff jadilah koko krunch.,[],"What I know is that it's afraid that chocolate is spilled in the wheat and puffs, be koko krunch."
nasib baik. haha,[],good luck. ha ha
jgn block sye mak ngah. kasihanilah saya.,[],"Don't block me, makah. Pity me."
tumpang gelak ea? hahahahahahahahaha.,[],Overlapping EA? hahahahahahahahahaha.
kan? dh masih guna sistem zaman yk. kelakar betul.,[],right? DH is still for the YK era system. The joke is right.
benda ni mmg menyusahkan cikgu. sistem kuno. nk upload gambar pun kemain payah. saiz kecik sgt. dia ingt ni zaman phone gp agaknya. gambar pun sekarang dh saiz besar.,[],"This object is troubled by cikgu. ancient system. nk uploading the picture is too bad. SAIZ KECIK SGT. He is in this phone phone, apparently. The picture is now a big DH Saiz."
hahahaha.. sabar,[],Hahahaha .. Patience
"mmg tak nampak la dh kau tu penjilat tegar aina bangang tu. semua tweet orang yg ade pasal aina kau pi serang. mcm mana nk ada hala tuju hidup? kau ni bangang jenis ape? aku pun jem, aku mcm otak aku jatuh, aku nk kutip, hilang, hilang otak tu.",[],"mmg doesn't look like you're a tough flicker on Aina Bangang. All the tweets of people who ade are Aina's article. Mcm where do you have a purpose for life? Are you a type of type? I'm also jem, I am my brain falling, I quote, disappear, lost my brain."
hahaha.. akaun pun bru buat tu. mmg nk kena pijak budak ni. dh mmg produk tu sampah. sampah la.,[],Hahaha .. Akaun Bru for Tu. mmg nk hit this slave massage. DH MMG TU GARITS PRODUCTS. La trash.
menyusahkan. kau ingat senang nk upload gambar? sistem kuno.,[],troublesome. Do you remember happy to upload images? ancient system.
innalillahiwainnailaihirojiun. siapa meninggal tu?,[],INNALILLAHIWAINNAAHIHIROJIUN. Who died?
semoga dipermudahkan.,[],Hopefully make it easier.
anak first boleh terima lagi. anak kedua masih tak settle sijil nikah yg hilang? kau ni bodoh ke bangang? mantat ade lak mase. nk uruskan sijil nikah takde masa? sorry i said what i want to said.,[],First children can accept again. The second child is still not settle sijil marriage that is lost? You're stupid to Bangang? mantat ade lak mase. Nk Discharge Sijil Marriage Takde Takde? Sorry I Said What I Want to Said.
orang point out benda yg betul pun kena hentam. kelakar lah terpaling islam ni.,[],The right point out of the object is also hit. The joke is a tarp of Islam.
"thanks, tiberr.",[],"Thanks, TIBERR."
"spesis ""biasalah budak budak"". kah kah kah.",[],"specific ""usually slave slave"". Are you?"
you're welcome,[],You're welcome
rse mcm boleh. tp gune phone lain dan email lain la rasanya.,[],RSE MCM is allowed. But other pile phones and other emails.
do it! hee,[],Do it! Hee
same la..klau adik sendiri dh lama kena terajang ni.,[],Same la..klau your own sister has been hit by a long time.
bodohnya anda.,[],You are stupid.
"orang tgok badminton.. kau nk tgok jgak lepas tu bingai, betul la momota tak on form semalam. kau ingt yg kritik tu laki cik kiah ke? kenal tak siapa boon heong?orang yg pernah pegang gelaran smasher terkuat/terlaju. haih la makcik, makcik.",[],"People are badminton ... you don't get off, you don't get off, that's right, it's not on the form last night. You want to criticize the man, cik kiah to? Do you know who is Boon Heong? People who have held the strongest/sued smasher. Haih la makcik, makcik."
"training yg takde kaitan ngn kerja harian, yg kuban kuban jela.. kambing betul.",[],"Training that is not related to daily work, what I do I do ... goat is right."
badut sarkas.,[],sarcasm clown.
hmm.. osha takyah make uo pun takpe.. bedak compact cukup. hahaha.,[],hmm .. osha takyah make uo too takpe .. compact powder is enough. ha ha ha.
pukul org tu osha.. berani dia sidai osha.,[],At the time of Osha ... dare him to sidai osha.
bagus. ramai sangat batak rt. dia ni dh post dia ni copy. mmg aku report je memane tweet yg copy ni. lg tweet femes yg suka copy tweet org. disebabkan dia femes trus meletup post tu.,[],good. Very crowded Batak RT. he dh dh post he copy. mmg I report je memen tweet that copy. LG Tweet Femes who like to copy org tweet. Because he was female and then the post exploded.
have have,[],Have have
yeke.. dapnye.. nyumm,[],yeke .. dapye .. nyumm
eh.. ikea mne? hahahaha,[],Eh .. IKEA MNE? ha ha ha ha
banyak benda terbuku dlm hati. luah nnt boleh jadi gaduh. better aku diam jela.pape pun sarap dulu.,[],Many objects in my heart. NNT can be noisy. Better I was silent jela.pape was just giving it up first.
gahahaha.. mne tu makcik?,[],gahahaha .. mne tu tu makcik?
puyyohhhh makcik..,[],puyyohhhh makcik ..
bertabahlah. semoga dpt lelaki yg gentleman lah hendaknya nnt.,[],"Turn it. Hopefully get a gentleman man, you should."
kebanyakan perempuan mana faham. sbb tu lelaki ni bila bincang je bab ni terjekut. tu yg terus bertambah struggle nk ngumpul. means bukan takde kumpul sebelum ni.. tp kena tambah effort utk mengumpul tu.,[],Most of which women understand. as follows if the man is talking about this chapter. that keeps getting more struggle. Means is not a gathering before ... but it will be added effort to collect.
"buat majlis kesyukuran biasa, bagi makan pada sedara mara, jiran terdekat udah. jarang la dengar lelaki nk buat grand. perempuan yg melebih biasanya.",[],"For the usual sieving, for eating to be somewhat mara, the nearest neighbor is already. You rarely hear men for grandfather. women who exceed usual."
"ok la tu cikgu, saya bru nk belajar",[],"ok la tu cikgu, I don't study"
"beli, ade modal tukar la part ape yg ptot. lowered kn sikit belakang tu. biar stabil sikit.",[],"Buy, Ade Capital Exchange La Part Apes that PTot. LowerD KN a little back. Let it be a little stable."
power cikgu.,[],Power Cikgu.
"kembalilah (malamku dingin tiada pujuk rayumu) he-yaputeriku (ku kehilangan tawa mesramu itu) oh-oh-yakembalilah (malamku dingin, aku kehilanganmu) he-eykekasihku (mengertilah, oh, kekasihku) wo-ohkekasihku, kembalilah",[],"Come back (my night is cold no one of your seduce) He-yapuNy (I lost your Mesra's laughter) Oh-oh-yakgalilah (my night is cold, I lost you) he-Eykasih my g"
"tak sanggup aku kehilanganmudi dalam jaga aku keliruoh, mengertilah",[],"I can't afford to lose in guarding me wrong, understand"
"malamku dingin tiada pujuk rayumu(kembalilah) ku kehilangan tawa mesramu itu(oh, puteri) malamku dingin, aku kehilanganmu(kembalilah) mengertilah, oh, kekasihkuoh, puteriku",[],"My cold night is no persuading your seduce (return) I lost your mesra (oh, daughter) my night is cold, I lost you (return) understand, oh, my lover, my daughter"
"kini kau tiada lagi, tinggallah aku sendiririndu di hatiku ini tak dapat aku sembunyientah bila kan kembalisetelah kau pergi, oh-oh",[],"Now you are gone anymore, I live myself in my heart, I can't hide it if you return it after you leave, oh-oh"
"harum semerbak kasturi indah mewangicantik rupa parasnya puteri di sinar mayacinta bukannya semata, yang kuperlu zahirmuhey-yeah-yeah, puteri, oh-oh",[],"fragrant fragrant Kasturi Indah wrapped in the appearance of her face in Sinar MayaCinta instead of, which I need Zahirmuhey-yeah-yeah, Princess, Oh-Oh"
sye lanje nnt tak mahal kan?,[],Sye Lanje NNT isn't expensive right?
"dah tahu aa banyak rekod tak elok, eh beli jgak. sepatutnya korang dh expect benda ni terjadi, sbb bukan sekali dua aa buat mcm ni dah lebih kali rasanya. bebel pun tak guna. salah siapa?",[],"I know aa a lot of records are not beautiful, eh buy it. It is fitting that you expect this object to occur, as is not once two AA for this MCM, it's already more. Bebel was not useful. Whose fault?"
"ni lah nama dia, dia buat takpe, orang lain buat tak boleh.. abuthh*****",[],"This is his name, he made Takpe, other people for not ... Abuthh *****"
yeke.. tgok berapa gram jgak kot osha..,[],yeke .. tgok how many grams are not osha ..
bubur sentosa la.. ape lg.,[],Sentosa La porridge ... Ape again.
mmg kabur.. tak tipu. gahahahaahha.,[],mmg run away .. not tricky. Gahahahaahha.
nggak mesra camera ni. mcm aku. tgok dp aku amik gambar kabur trus.,[],It's not intimate camera. Mcm me. Tgok dp I amik picture run away then.
cari yg murah la gitu.. klau belah johor ni terkenal kedai emas anuar harga agak murah banding kedai lain.,[],looking for cheap one ... if divisive johor ni is famous for the gold shop anuar price is rather cheap in other shops.
aippp.. gahaha,[],AIPPP ... GAHAHA
okay.. boleh try nnt ni.. gehehehe,[],okay .. can I try this ... gehehehe
personal rating can give?,[],Personal rating can give?
grumpy goat ni menu dia okay?,[],Grumpy Goat Ni menu is okay?
asalkan isley memerintoh. tapi kau? lari merempat kerja kt negeri orang. balik.. masih lg mengundi calon yg sama.. funny.,[],As long as Isley ordered. but you? Running to work KT State people. back .. still draw the same candidate ... Funny.
"bila memikirkan. tak tenang, tak boleh tidur aku dibuatnya. mcm mana lah nk hadap hari mendatang nnt.",[],"When thinking. Not calm, I can't sleep I made. MCM which one is NK facing the next day NNT."
banyak kali dh nampak tweet serupa gini. siapa punya yg original ni? takde credit or pape. gile rt ke.,[],many times dh appears like tweets like this. Who has the original one? Takde credit or pape. Gile RT to.
"tapi, jalan tu lengang.. hmm..tapi.. tapi.. tapi... hmm.. maleh aque cakarp lebih lebih.",[],"But, the road is quiet ... hmm ... but ... but ... but ... hmm .. maleh aque clawp more."
bezza.,[],Bezza.
masalahnya kipas pun keluarkan angin bahang.. hahaha.. pengsan.,[],The problem is that the fan removes the breeze ... hahaha .. Pengsan.
mungkin la.. or phone tarik line tak kuat.,[],Maybe la .. or phone pull the line is not strong.
"tegur je.. semak. ada reply tweet yg kata pakar suruh biarkan bla bla bla. nk biarkan pun bertempat la. ni kt public, kedai makan lg tak reti nk pujuk anak tu diam. kau ingt semua org selesa ke? dpt yg baran trus pergi kt anak kau bg penampo sedas. baru ade akal nnt mak pak dia.",[],"Reprimand je .. bush. There is a reply tweet that the expert said told to let blah blah blah. nk let it take place. Ni KT Public, LG LG Dinegal Stalls Nk Nk Persuaded Children Silent. You want all the people to finish to? can be the one who goes and goes because your child is a shadow. Just a reason, sir, he is."
nk elak kerja ke tu? hahahaha,[],do you work to work? ha ha ha ha
muncul dr ceruk mana ni? standard mamak dh harga mcm tu. tak yah mkan mamak la lain kli.,[],"Where do you appear from the niche? Standard mamak dh price mcm. No, I still have another mamak."
betul!,[],Right!
dorng lawan dengan hantu raya peliharaan dorng. tiberr.,[],DORNG Opponent with a Dornng Pet Ghost. TIBERR.
kalau boleh berfikiran rasional okay la. tp kebanyakan org akan cepat percaya bila bgtau akaun sekian jumlah sekian.terus dia transfer blik kt akaun si scammer tu.,[],If you may think rationally okay la. but most people will quickly believe that you will be so many.
"impact dia, takut org guna kan sebagai scam yg di panggil scam a,b,c. si a scam si c dengan menggunakan no akaun si b. then si a akan contact si b kata salah transfer la ape la. last si b yg kena tanggung as scammer. hah faham tak?",[],"Impact him, afraid that people will be used as a scam called scam A, B, c. Si A Scam S Si C Using No Akaun Si b. Then the A will contact the B word wrong transfer la ape la. Last Si B who was hit by a scammer. hah understand no?"
penjilat najib rosmah detected. mesti penyokong tegar umngok/bn ni. mmg tiap tahun kena kencing berdarah tapi tak sedar diri.,[],Najib Rosmah Detected. must be a strong supporter/BN. mmg every year can be pounded with bloody but not self -reliable.
tak pernah guna waze since kena scam mse pergi kelantan. noob waze.,[],never used Waze since by scaming mse away kelantan. Noob Waze.
"sia kena kecam berjemaah. bebal sebebal bebal alam,",[],"Sia got hit by congregation. beaval sebali bengal nature,"
haha.. diam terus si bingai tu.,[],haha .. keep quiet the bingai tu.
tengah tak cukup org tu.. salah management j&amp;t la buat pekerja mcm hamba.. so baik blah.,[],middle is not enough org ... wrong management j & amp; t la la for mcm workers servant ... so good blah.
delivery man dia sesat ke alam brazzer tu osha.. tu pasal la.,[],Delivery man he misguided the realm of brazzer tu osha .. tu article la.
sabar,[],patient
sanah helwah mak ngah.semoga di panjangkan umur dan dimewahkan rezeki serta dipermudahkan segala urusan mendatang. salam aidilfitri jga.,[],Sanah Helwah Mak Ngah. Hopefully the age is extended and suspended and made it easier for all matters to come. Greetings aidilfitri too.
"tiber lah kau pulak yg bitter. ramai tertanya tanya, tu dh ade yg tlg tanya dan di jawab elok. kn ramai dah dapat jawapan tu.",[],"Tiber, you're the bitter. The question was asked, tu dh ade who asked and answered beautiful. KN is crowded, I can get a day."
tu pun ade yg backup. gile isim warga twitter ni(segelintir ye segelintir),[],I was backup. Gile Isim Twitter residents (a handful
kepala bapak kau anjing. hadiah kepala bapak kau. rm yg masih lagi rendah ni adalah hak. babi punya orang bn/umno. tp tu la masih ramai lg yg sokong atas sebab melayu. bodoh punya melayu. nasib aku bukan melayu betul.,[],Your head is a dog. Your head gift. RM that is still low is right. Pigs have BN/UMNO people. but it's still crowded again who supports because of Malay. Stupid having Malay. My fate is not true.
"kelakar tgok orang yg pertikai ni.kau dh la dulu belajar bodoh.math pun exam tiru orang, pendidikan islam pun jadi pendidikan selam.ada hati nk pertikai kenapa hri bukan hri.kenapa umum last minit bla bla. kau yg bukan ahli cri jawapan,bukan pertikai. faham kontol?",[],"The joke of the person who was married. You used to learn stupid. Maths also imitated people, Islamic education became diving education. You are not a CRI Jawapan expert, not a marriage. Fair dick?"
"whoa-oh-oh-ohtheres lovin in your eyes that pulls me closer(oh, it pulls me closer)its so subtle (its so subtle), im in trouble (im in trouble)but id love to be in trouble with you",[],"whoa-oh-ohtheres lovin in your eyes that pulls me closer (oh, it pulls me closer) its so subtle (its so subtle), im in trouble (im in trouble) but id love to be in trouble with you"
ilmu pun takde sibuk nak pertikai. nah baca thread ni biar bijak berakal sikit.,[],"Knowledge is not busy, son, Well, read this thread to be wisely a little wise."
"daripada kau cari saman, baik kau kawal trafik utk aliran yg lebih lancar la lahanat. kalau marhaen ade je yg nk di cari salah.",[],"Instead of you looking for Saman, well you guard traffic for a smoother stream. If Marhaen is the one who is looking wrong."
no tu. celah mne? jalan situ mmg jem. takkan nk dakwa semua yg halang lalu lintas tu? terpaling backup menteri sbb adik drebar menteri. kah kah kah.,[],"no tu. mne gap? Situ road mmg jem. won't you, all the traffic hacks? Terpapan Backup Minister SBB Sister Drebar Minister. Are you?"
bila dah tak dpt nk argue. kah kah kah.,[],if you can't get argue. Are you?
nnt ade mse jumpa la okay?,[],nnt ade mse see you okay?
